review,cleaned_review
"Easily the best Sauvignon Blanc I've had to date. Beautiful array of flavors on the nose with lemon, apple, honey, peach and other citrus. A great balance of acidity and a slight buttery flavor in the mid palate. Smooth and medium finish. Definitely worth having again. ",easily the best sauvignon blanc ive had to date beautiful array of flavors on the nose with lemon apple honey peach and other citrus a great balance of acidity and a slight buttery flavor in the mid palate smooth and medium finish definitely worth having again 
"Excellent, Mockingbird Inn?
","excellent mockingbird inn
"
Absolutely incredible. One of the best sauvignon blancs I've ever had the pleasure to taste,absolutely incredible one of the best sauvignon blancs ive ever had the pleasure to taste
Reported in nytimes. Did not try,reported in nytimes did not try
"Great. Much different than other Sauv Blancs since it is aged in oak. After a few days open in the fridge, it was way better!",great much different than other sauv blancs since it is aged in oak after a few days open in the fridge it was way better
"This was a nice, balanced, SVB. Just enough Apple and citrus, light on the grass, but enough flavor to enjoy. ",this was a nice balanced svb just enough apple and citrus light on the grass but enough flavor to enjoy 
"Oak and stone first, followed by a little peach. Finishes with some apricot and green apple. Very good bottle for the price!",oak and stone first followed by a little peach finishes with some apricot and green apple very good bottle for the price
"Stunning, delicious, sophisticated, incomparable to other SB's. A very welcome addition to the wonderful world of SB's.",stunning delicious sophisticated incomparable to other sbs a very welcome addition to the wonderful world of sbs
Fantastic expression of Napa Sav Blanc.  Incredible peach undertones that went well with our grilled peach and avo salad,fantastic expression of napa sav blanc  incredible peach undertones that went well with our grilled peach and avo salad
"I think this is my first Cali Sauvignon Blanc. Fruity, honeysuckle, maybe a little oily? Slightly sweet. ",i think this is my first cali sauvignon blanc fruity honeysuckle maybe a little oily slightly sweet 
One of the best Sauv Blancs made.. only accolades.. smooth and crisp up front with a memorable finish..,one of the best sauv blancs made only accolades smooth and crisp up front with a memorable finish
"Another bottle and another great dinner (soft shell crabs).  Drink this wine. Great balance, fruit and verve. ",another bottle and another great dinner soft shell crabs  drink this wine great balance fruit and verve 
Clean and pear up front with a beautiful subtle butter and spicy finish. One of the better sav blancs ,clean and pear up front with a beautiful subtle butter and spicy finish one of the better sav blancs 
"Smooth and slightly sweet with pear, apple, and mango notes. Medium bodied and we'll balanced. Pairs well with cheese.",smooth and slightly sweet with pear apple and mango notes medium bodied and well balanced pairs well with cheese
"Honey, pear and grilled pineapple on the nose.  Earthy on the palate with pear, mild grapefruit and green apple.",honey pear and grilled pineapple on the nose  earthy on the palate with pear mild grapefruit and green apple
One of the better Sauvignon Blancs I’ve tasted. Pear and apple palate with a good mix of minerality and butter. ,one of the better sauvignon blancs ive tasted pear and apple palate with a good mix of minerality and butter 
"Dry, high acidity, high alcohol, medium bodied. Grass, vanilla and liquorice on the palate. Very good quality!",dry high acidity high alcohol medium bodied grass vanilla and liquorice on the palate very good quality
Crisp and tart flavors upfront with a nice sweet pear finish. Aromas of wild flowers and honey suckle. Exceptional wine!,crisp and tart flavors upfront with a nice sweet pear finish aromas of wild flowers and honey suckle exceptional wine
Dry. Very fruit forward with no bad linger on the palate. Bought a bottle after our tasting and enjoy it just much now.,dry very fruit forward with no bad linger on the palate bought a bottle after our tasting and enjoy it just much now
"Love this wine. Medium - Full bodied, low sweetness, and medium - high acidity. Melon and citrus, mmmm!!",love this wine medium  full bodied low sweetness and medium  high acidity melon and citrus mmmm
Still a favorite.. deep color and pleasant tones of pear. Good enough to match a spicy pork dish! melon ,still a favorite deep color and pleasant tones of pear good enough to match a spicy pork dish melon 
